RepIndel_num	Del_rep_mean	MMR_sum	maxcossim	MSI_status	glm_prob
col2348_1110	2167	0.911844845	1208.423453	0.519871949	Non-MSI-H	0.985234659300458
col2348_539	2179	0.983378404	0	0.544523426	Non-MSI-H	0.972424951447181
col2348_147	2241	0.889513097	1785.347181	0.586969546	Non-MSI-H	0.964553837243238
col2348_1144	2258	0.982576742	0	0.541422512	Non-MSI-H	0.973682306510412
col2348_904	2279	0.938639051	0	0.451392594	Non-MSI-H	0.994070759152566
col2348_1341	2328	0.985247004	0	0.581880783	Non-MSI-H	0.95302027553287
col2348_1111	2329	0.854696768	978.7927976	0.613671463	Non-MSI-H	0.957301984488237
col2348_1546	2329	0.918360665	2324.0319	0.521117781	Non-MSI-H	0.983751488747456
col2348_108	2356	0.949281095	0	0.580456587	Non-MSI-H	0.96070613809128
col2348_448	2366	0.993182178	0	0.50171369	Non-MSI-H	0.98429117208291
col2348_256	2436	0.973899386	0	0.282883634	Non-MSI-H	0.999392645433731
col2348_390	2487	0.910231785	0	0.525805195	Non-MSI-H	0.984781310084052
col2348_1427	2501	0.852928699	1286.687661	0.452997341	MSI-H	0.995670490733203
col2348_85	2514	0.936232197	1653.076884	0.498932793	Non-MSI-H	0.98750325503205
col2348_57	2521	0.952328268	0	0.550650732	Non-MSI-H	0.973761195425017
col2348_749	2535	0.978484454	0	0.549491759	Non-MSI-H	0.970962647747774
col2348_482	2551	0.976646246	0	0.521852389	Non-MSI-H	0.980538197686002
col2348_15	2636	0.866887829	0	0.567902181	Non-MSI-H	0.977181107191082
col2348_215	2667	0.95941569	0	0.56026811	Non-MSI-H	0.96892965061193
col2348_639	2691	0.975642878	0	0.511046955	Non-MSI-H	0.983371559087963
col2348_1012	2745	0.90416912	768.1406075	0.569716632	Non-MSI-H	0.97138118616595
col2348_357	2834	0.984132762	0	0.562216953	Non-MSI-H	0.964279638103956
col2348_1011	2888	0.927562255	0	0.561347251	Non-MSI-H	0.972595871488483
col2348_811	2896	0.980224445	0	0.25080388	Non-MSI-H	0.999605703038788
col2348_755	2919	0.884981121	0	0.326834887	Non-MSI-H	0.999233828373054
col2348_145	3053	0.712881628	2196.378976	0.523525871	Non-MSI-H	0.99341521616829
col2348_1105	3076	0.904377204	1158.69869	0.543279818	Non-MSI-H	0.979922831852476
col2348_247	3118	0.966630607	0	0.332205623	Non-MSI-H	0.998789869936265
col2348_276	3126	0.963541719	0	0.520932086	Non-MSI-H	0.981796520729305
col2348_1820	3140	0.971419899	1110.127533	0.588746761	Non-MSI-H	0.948764065562044
col2348_151	3153	0.9737355	0	0.564419238	Non-MSI-H	0.964718998237716
col2348_1858	3249	0.970637787	0	0.421045903	Non-MSI-H	0.995526456367766
col2348_197	3490	0.973384409	2543.801912	0.597499715	Non-MSI-H	0.938083118401346
col2348_342	3576	0.954744581	0	0.549434214	Non-MSI-H	0.973653853560251
col2348_484	3797	0.96982485	3086.443799	0.628213135	Non-MSI-H	0.905687385963023
col2348_86	4094	0.97944519	0	0.522433682	Non-MSI-H	0.979818772334226
col2348_341	8105	0.913693737	0	0.18221385	Non-MSI-H	0.999887155861846
col2348_1481	22842	0.833134337	0	0.206942768	Non-MSI-H	0.999870675040261
col2348_1094	25663	0.964874802	35757.24949	0.769501202	MSI-H	0.20155511437579
col2348_918	30964	0.983326395	20901.87214	0.717317303	MSI-H	0.468341103045523
col2348_1455	31797	0.992460721	42519.09646	0.788842113	MSI-H	0.105797520609059
col2348_1116	32849	0.982715317	26524.88671	0.794669326	MSI-H	0.181571380433385
col2348_915	33510	0.987277773	34334.29583	0.777570718	MSI-H	0.165675033461127
col2348_846	66220	0.976966999	24410.7583	0.834980444	MSI-H	0.0900062529277849
col2348_3	69938	0.988132076	14508.63563	0.661481033	MSI-H	0.631453570492645
col2348_1518	70507	0.97903848	20834.60163	0.843240491	MSI-H	0.0882798210805467
col2348_1177	73574	0.989775924	1011838.248	0.910542733	MSI-H	2.22044604925031e-16
col2348_837	92724	0.980725961	37213.17379	0.825337963	MSI-H	0.0472876758502144
col2348_140	95682	0.98315858	60116.02414	0.807853475	MSI-H	0.0226989221200291
col2348_689	107093	0.983904056	59799.03239	0.74987775	Non-MSI-H	0.0462746189587301
col2348_1131	108775	0.99025473	47985.67935	0.795960145	MSI-H	0.0376766289450945
col2348_822	115142	0.985427363	33865.38532	0.879798671	MSI-H	0.0198140813168424
col2348_388	116214	0.986031968	33438.5	0.84006123	MSI-H	0.0349082849045043
col2348_1347	116509	0.990413233	39107.42606	0.817456764	MSI-H	0.0371497030646581
col2348_1120	119470	0.990796881	41842.74363	0.877636842	MSI-H	0.0136902177284487
col2348_1449	121686	0.987943482	47975.16195	0.85428286	MSI-H	0.0146645163279302
col2348_1529	121822	0.985390899	33140.27854	0.844447575	MSI-H	0.0315390938390464
col2348_446	122192	0.990313249	57035.72797	0.85535236	MSI-H	0.0097200288644874
col2348_1375	123338	0.988926925	55438.87855	0.901612481	MSI-H	0.00530705643280112
col2348_1175	127595	0.990233934	44835.67551	0.824016891	MSI-H	0.0240091339693138
col2348_838	129528	0.980930441	52461.35663	0.892132993	MSI-H	0.00672573498831205
col2348_674	129937	0.984245075	40362.98798	0.88732426	MSI-H	0.0117615407045283
col2348_766	130145	0.987202259	43629.82973	0.844950298	MSI-H	0.0185266935492476
col2348_1830	130878	0.988819676	28220.2199	0.830848092	MSI-H	0.0420592570428936
col2348_757	134407	0.981044195	72815.66233	0.744022888	MSI-H	0.0228200650149185
col2348_72	139956	0.989128255	62917.984	0.707190883	MSI-H	0.0523844125376862
col2348_1053	141060	0.993068382	30015.82508	0.819273697	MSI-H	0.0408301839703993
col2348_1528	141156	0.990497876	38317.08235	0.850790571	MSI-H	0.0187787304681505
col2348_7	143398	0.988175029	20620.06202	0.617819768	MSI-H	0.541974358969252
col2348_62	145318	0.981043497	46428.15975	0.762949855	MSI-H	0.0464179778783673
col2348_403	145783	0.994543968	45940.36451	0.854801921	MSI-H	0.0120854503894303
col2348_1109	148484	0.988327214	71870.46595	0.875494358	MSI-H	0.00300747305805901
col2348_1072	155766	0.995284336	67003.74424	0.878095739	MSI-H	0.00320172791389855
col2348_1428	155971	0.991478311	61329.71603	0.834395083	MSI-H	0.00777144585984768
col2348_842	161919	0.970553901	83595.32017	0.88503367	MSI-H	0.00151013093267173
col2348_1127	162792	0.988443233	42576.62861	0.82545381	MSI-H	0.0183672252630087
col2348_491	165710	0.995216834	76517.36052	0.740187876	MSI-H	0.0141833417096727
col2348_929	170608	0.988870156	107439.2154	0.832539506	MSI-H	0.00099055266883949
col2348_377	173727	0.992466876	46508.51911	0.779811578	MSI-H	0.0262917639818901
col2348_450	178506	0.986673942	42244.25802	0.727968692	MSI-H	0.0630188068170393
col2348_1692	179095	0.994064371	70004.90389	0.824120256	MSI-H	0.00489363257282436
col2348_1516	183134	0.986698304	80919.97193	0.840316905	MSI-H	0.0024225570179974
col2348_53	184848	0.995026133	98196.0199	0.848322172	MSI-H	0.000980885368127335
col2348_54	188004	0.990755281	77402.57735	0.856346361	MSI-H	0.00208219941313877
col2348_1022	188633	0.982796289	90996.96887	0.820835226	MSI-H	0.00201941464590342
col2348_541	188781	0.984165505	56508.25173	0.741578048	MSI-H	0.0267245573764294
col2348_124	189521	0.992752348	39434.04557	0.690553517	Non-MSI-H	0.101918617561698
col2348_10	192873	0.986835825	111652.265	0.603694154	MSI-H	0.018229805302446
col2348_97	205421	0.989187213	102214.1598	0.803247205	MSI-H	0.00132723859264536
col2348_1036	219938	0.99160839	227001.735	0.685750139	MSI-H	3.13049843844128e-05
col2348_1419	221914	0.9967236	95059.80117	0.878841094	MSI-H	0.000490244385856334
col2348_80	226322	0.989897629	161862.7918	0.794453388	MSI-H	9.6789886428205e-05
col2348_630	291592	0.995073435	229635.1439	0.90390575	MSI-H	5.59625858657973e-07
