Sample	sub_num	indel_num
0cdbabf2-c623-11e3-bf01-24c6515278c0	5909	357
0cf9bbc2-cbd5-4b64-8d90-cfa416307b39	10888	644
0d0793c1-df1b-4db1-ba36-adcb960cc0f5	11089	946
0d259ac2-03d1-4814-9b0b-d05e3a6029b7	7933	486
0d31a44f-1fc5-43a2-9633-36c4e650d3d2	2321	210
0d569bd5-418d-4d72-87ca-8e14668c2119	13061	877
0db9309e-7b95-4ae3-b0ed-dfd4f38d11b0	2503	226
0dd0718d-5ddf-4c59-8c47-0f51303daeb5	168604	4739
0dd39eca-c623-11e3-bf01-24c6515278c0	8731	555
0e1e628b-823a-4861-aa95-bed2fada7349	1498	311
0e54cea2-d568-4a33-b9db-b698844e6ad9	3732	228
0e6654c9-cd5e-4f94-a6d4-54f2bb16de1f	37122	1308
0e6ca8dc-0f31-4675-95b1-5920576daeff	5883	706
0e7ac212-0469-4f17-9432-205ab1831257	3485	169
0e7f46ca-6f5c-4538-b6d6-00af65d57fcf	67384	1781
0e872e0d-4711-4364-a5d0-6beeb6fd3ff2	41415	2166
0ed2e2e1-2fe3-43eb-8cad-34f3f21a7169	2228	164
0ed63d84-d3fe-4289-9255-35f4a03b703b	4031	845
0eeafcd6-c623-11e3-bf01-24c6515278c0	19094	780
0ef92ff8-829f-425a-91d8-c594b6e22a2b	16711	1102
0f53e757-1823-409f-a0ea-249270728e15	4005	739
0f6b355e-3898-4be6-be97-da0c3840a4ed	3807	395
0f9e70b3-24cf-4d76-af7b-84ace66ec5a7	7097	380
0fa9cfba-0f49-47d0-ab54-9dd2144e0a73	5555	283
0fbd94b1-bb34-4620-841b-861a0b5e0c12	9911	535
0fc63b79-7fff-441d-88fc-922d53c787ab	5173	303
1021b60d-f7b2-43b0-b2cc-f282d619d533	65072	3278
105a51c4-cc7e-4d0f-9cf8-e4d64a31d14d	5915	386
108749d2-5c62-4ef1-92df-aec6941ba53b	108965	610
108b67d4-5d66-46da-8675-6acae643b76f	2278	191
10ad692b-4c3d-42de-9b5e-4968441388b3	9435	1692
10bb1a92-901e-4a14-80f4-5e88f997754b	62635	614
10cb8ac6-c622-11e3-bf01-24c6515278c0	23225	985
10d15b7a-16d1-4953-aaef-f193ffa97f42	7326	672
110b5f05-ded7-45ec-b0f6-a941c92d77dd	9024	458
1127b561-ea40-4d5e-95df-daa0a5ebc1e4	16906	1282
11473a98-d953-45f9-abf5-709b68a4bae8	5824	443
1168944c-5451-4a18-8758-88bf5723bdd9	10978	1171
120f01d1-8884-4aca-a1cb-36b207b2aa3a	4220	454
122bf0a9-8052-49da-a9d7-0e5de9ab7032	2195	191
123c9d1c-72ba-4d82-8e57-d5caa52a40ba	7345	397
124d5b04-4588-44c3-9c00-61e064cf1bdb	11607	1544
126ee433-d345-4cac-882a-c91831a24690	2760	206
127b0f7d-d24e-48b7-ac25-d3f14a43952d	5353	484
12874085-a596-41ae-b4cd-817cb1ebb278	8643	618
1292e13b-d7c6-447b-a227-9a8113215580	14132	1445
129459c1-38be-45da-bb87-18848c97c544	7632	575
1295947c-c623-11e3-bf01-24c6515278c0	32597	1736
129de5b2-d9b0-4762-9ef8-72d98231fb50	5688	371
12d7121a-0345-4808-a819-09d6e3227bd5	2266	140
12f038e1-00af-4c64-a2e0-9e63323492ef	9175	641
12f1ae2f-2666-45be-9742-f502d212373d	90173	548
1327bbd4-a466-4e26-905f-cf91315f1cc8	4896	387
132f7f2a-b902-4343-aa08-cf6a7af10b9a	3678	183
134c9a92-e91e-4347-a9c4-727279edebb1	64391	2450
13642cf8-9840-4a7d-a26a-95f65b2c70c3	2466	154
13bd2b30-c623-11e3-bf01-24c6515278c0	5408	325
