type_4	background	EXO1	MLH1	MSH2	MSH6	PMS1	PMS2
G|[-T]Rep=5|G	0	0	21	21	27	1	10
G|[-T]Rep=6|A	0	0	41	40	24	1	12
G|[-T]Rep=6|C	1	0	14	9	16	0	11
G|[-T]Rep=6|G	0	0	22	16	31	1	2
G|[-T]Rep=7|A	0	0	79	52	54	0	14
G|[-T]Rep=7|C	0	0	40	37	39	0	5
G|[-T]Rep=7|G	0	1	64	57	49	0	18
G|[-T]Rep=8|A	0	0	93	67	82	1	27
G|[-T]Rep=8|C	0	0	62	50	59	2	18
G|[-T]Rep=8|G	0	0	100	50	71	0	22
G|[-T]Rep=9|A	0	0	106	64	95	1	49
G|[-T]Rep=9|C	0	0	66	68	93	0	32
G|[-T]Rep=9|G	0	1	82	63	85	0	34
G|[+T]Rep=0|A	0	0	0	0	0	0	0
G|[+T]Rep=0|C	0	0	0	0	0	0	0
G|[+T]Rep=0|G	0	0	0	1	1	0	1
G|[+T]Rep=1|A	1	0	0	1	0	0	0
G|[+T]Rep=1|C	0	0	0	0	0	0	0
G|[+T]Rep=1|G	0	0	2	1	0	0	1
G|[+T]Rep=2|A	0	0	0	0	1	0	2
G|[+T]Rep=2|C	0	0	0	1	0	0	2
G|[+T]Rep=2|G	0	0	3	4	0	0	3
G|[+T]Rep=3|A	0	0	1	0	1	0	1
G|[+T]Rep=3|C	0	0	1	0	0	0	3
G|[+T]Rep=3|G	0	1	3	0	1	0	5
G|[+T]Rep=4|A	0	0	2	3	1	0	2
G|[+T]Rep=4|C	0	0	0	1	1	0	1
G|[+T]Rep=4|G	0	1	2	5	5	0	7
G|[+T]Rep=5|A	0	0	2	4	2	0	6
G|[+T]Rep=5|C	0	0	4	6	3	0	6
G|[+T]Rep=5|G	0	0	6	4	6	0	6
G|[+T]Rep=6|A	0	0	9	8	9	0	19
G|[+T]Rep=6|C	0	0	15	5	15	0	22
G|[+T]Rep=6|G	0	1	32	15	31	0	47
G|[+T]Rep=7|A	0	0	19	13	22	0	33
G|[+T]Rep=7|C	1	1	23	8	23	1	37
G|[+T]Rep=7|G	0	0	40	29	38	0	60
G|[+T]Rep=8|A	0	0	20	15	21	0	33
G|[+T]Rep=8|C	0	0	21	10	16	0	30
G|[+T]Rep=8|G	0	3	41	26	37	0	70
G|[+T]Rep=9|A	0	1	17	15	13	0	33
G|[+T]Rep=9|C	0	0	10	5	16	0	19
G|[+T]Rep=9|G	0	2	23	10	11	0	57
Ins_nMer_LongRep_g4	1	0	64	32	62	0	94
Ins_nMer_ShortRep_leq4	0	1	28	15	29	2	27
Ins_NonRep	3	2	12	8	42	1	9
